ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 1.1383595e-8, 1.1383595e-8, 1.1383595e-8, 1.6265482e-1, 1.1383595e-8, 2.7109134e-1, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 1.1383595e-8, 1.1383595e-8, 1.1383595e-8, 1.6265549e-1, 1.1383595e-8, 1.6265549e-1, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 9.6293000e-9, 9.6293000e-9, 9.6293000e-9, 1.5921137e-1, 9.6293000e-9, 1.5921137e-1, 0.0000000, 1.8218306e-1, 4.5180064e-2, 9.9000001e-1
2, 7.9827487e-9, 7.9827487e-9, 7.9827487e-9, 1.5919386e-1, 7.9827487e-9, 1.5919386e-1, 0.0000000, 2.0626371e-1, 4.4732228e-2, 9.9000001e-1
3, 6.6350867e-9, 6.6350867e-9, 6.6350867e-9, 1.5884571e-1, 6.6350867e-9, 1.5884571e-1, 0.0000000, 2.0311144e-1, 5.2591220e-2, 9.9000001e-1
4, 5.6095830e-9, 5.6095830e-9, 5.6095830e-9, 1.5877469e-1, 5.6095830e-9, 1.5877469e-1, 0.0000000, 1.8281282e-1, 6.0977716e-2, 9.9000001e-1
5, 4.8918767e-9, 4.8918767e-9, 4.8918767e-9, 1.5918832e-1, 4.8918767e-9, 1.5918832e-1, 0.0000000, 1.4671391e-1, 6.0801789e-2, 9.9000001e-1
6, 4.4488342e-9, 4.4488342e-9, 4.4488342e-9, 1.6020007e-1, 4.4488342e-9, 1.6020007e-1, 0.0000000, 9.9586204e-2, 5.0609037e-2, 9.9000001e-1
7, 4.2243209e-9, 4.2243209e-9, 4.2243209e-9, 1.6067064e-1, 4.2243209e-9, 1.6067064e-1, 0.0000000, 5.3147785e-2, 3.9573565e-2, 9.9000001e-1
8, 4.1029722e-9, 4.1029722e-9, 4.1029722e-9, 1.6069542e-1, 4.1029722e-9, 1.6069542e-1, 0.0000000, 2.9575806e-2, 3.4501020e-2, 9.9000001e-1
9, 4.0207757e-9, 4.0207757e-9, 4.0207757e-9, 1.6077754e-1, 4.0207757e-9, 1.6077754e-1, 0.0000000, 2.0442938e-2, 3.1891093e-2, 9.9000001e-1
10, 3.9568846e-9, 3.9568846e-9, 3.9568846e-9, 1.6074976e-1, 3.9568846e-9, 1.6074976e-1, 0.0000000, 1.6146824e-2, 2.8547449e-2, 9.9000001e-1
11, 3.9178145e-9, 3.9178145e-9, 3.9178145e-9, 1.6043082e-1, 3.9178145e-9, 1.6043082e-1, 0.0000000, 9.9724168e-3, 2.4769992e-2, 9.9000001e-1
12, 3.8678230e-9, 3.8678230e-9, 3.8678230e-9, 1.6066983e-1, 3.8678230e-9, 1.6066983e-1, 0.0000000, 1.2924989e-2, 2.3433940e-2, 9.9000001e-1
13, 3.7840042e-9, 3.7840042e-9, 3.7840042e-9, 1.6150594e-1, 3.7840042e-9, 1.6150594e-1, 0.0000000, 2.2150801e-2, 2.2525825e-2, 9.9000001e-1
14, 3.7203727e-9, 3.7203727e-9, 3.7203727e-9, 1.6190287e-1, 3.7203727e-9, 1.6190287e-1, 0.0000000, 1.7103540e-2, 1.8250039e-2, 9.9000001e-1
15, 3.6890335e-9, 3.6890335e-9, 3.6890335e-9, 1.6204132e-1, 3.6890335e-9, 1.6204132e-1, 0.0000000, 8.4952209e-3, 1.3781054e-2, 9.9000001e-1
16, 3.6752008e-9, 3.6752008e-9, 3.6752008e-9, 1.6193694e-1, 3.6752008e-9, 1.6193694e-1, 0.0000000, 3.7637977e-3, 1.1895318e-2, 9.9000001e-1
17, 3.6639958e-9, 3.6639958e-9, 3.6639958e-9, 1.6197811e-1, 3.6639958e-9, 1.6197811e-1, 0.0000000, 3.0581467e-3, 1.0242903e-2, 9.9000001e-1
18, 3.6582926e-9, 3.6582926e-9, 3.6582926e-9, 1.6199209e-1, 3.6582926e-9, 1.6199209e-1, 0.0000000, 1.5589829e-3, 8.9763515e-3, 9.9000001e-1
19, 3.6502004e-9, 3.6502004e-9, 3.6502004e-9, 1.6213210e-1, 3.6502004e-9, 1.6213210e-1, 0.0000000, 2.2169177e-3, 7.6769404e-3, 9.9000001e-1
20, 3.6438599e-9, 3.6438599e-9, 3.6438599e-9, 1.6224845e-1, 3.6438599e-9, 1.6224845e-1, 0.0000000, 1.7400460e-3, 6.6564446e-3, 9.9000001e-1
21, 3.6359546e-9, 3.6359546e-9, 3.6359546e-9, 1.6237766e-1, 3.6359546e-9, 1.6237766e-1, 0.0000000, 2.1741833e-3, 5.7009743e-3, 9.9000001e-1
22, 3.6306680e-9, 3.6306680e-9, 3.6306680e-9, 1.6243961e-1, 3.6306680e-9, 1.6243961e-1, 0.0000000, 1.4561123e-3, 4.7872886e-3, 9.9000001e-1
23, 3.6291123e-9, 3.6291123e-9, 3.6291123e-9, 1.6248286e-1, 3.6291123e-9, 1.6248286e-1, 1.0000000, 4.2865702e-4, 4.0691649e-3, 9.9000001e-1
